4NR5	TNR1	soil2	TNR3	4NRh5	TNRh2	TGRh4	WGRh3	WNR4	4NRh3	TNR4	4GRh4	WGRh4	WNR5	soil3	TGRh2	4NRh2	TNRh3	TNR2	4NR4	TGRh5	TNRh5	WNR1	TNRh6	WNR2	4NR6	WGRh5	WGR3	4NRh1	WNR6	4GRh1	soil1	WGRh6	4NR3	4NRh4	TGR2	soil5	WNRh5	WNRh2	WGR5	soil6	WNRh4	WNR3	WGRh2	TNR5	4NRh6	4GRh3	WGR4	TGRh6	WNRh3	TNR6	soil4	TNRh1	TGR6	TGRh1	WGR6	TGR5	WNRh6	TGRh3	WGRh1	TNRh4	WGR2	4GR5	WNRh1	TGR1	4GRh2	4GR4	WGR1	TGR4	4GR3	4GRh6	4NR2	4GRh5	TGR3	4NR1	4GR6	4GR1	4GR2
OTU_1047	6	0	2	0	2	0	20	2	4	9	0	3	3	12	1	0	12	1	0	1	0	13	2	0	0	0	2	3	5	7	0	2	0	1	2	0	3	0	2	8	0	3	2	3	0	4	0	0	0	0	0	1	4	0	0	2	0	3	26	3	0	1	1	1	0	0	0	2	0	0	3	0	1	0	0	1	0	0
OTU_597	0	0	48	0	40	0	43	17	0	69	3	7	20	4	44	19	45	47	0	0	0	42	0	14	0	0	10	0	49	4	0	41	31	1	90	0	63	9	5	0	36	4	0	27	19	71	3	0	27	11	0	35	38	0	12	2	0	5	42	19	16	0	0	8	0	2	0	1	0	1	12	0	8	0	0	0	0	0
OTU_203	0	0	26	2	37	0	46	31	2	65	5	6	22	4	36	25	41	25	11	1	11	62	3	4	0	1	12	2	30	2	1	53	24	0	46	0	53	13	11	5	49	10	2	19	29	45	3	5	0	23	0	42	15	0	25	3	0	6	32	16	5	1	0	14	0	2	0	4	0	0	8	0	10	0	0	0	0	0
OTU_659	4	0	71	0	30	18	25	7	6	26	0	1	10	2	52	6	11	7	0	1	0	14	5	8	0	0	7	0	4	3	0	44	14	0	11	0	56	6	4	1	53	5	6	7	0	7	2	0	0	12	0	43	4	0	9	0	0	5	5	7	14	1	0	2	0	2	0	0	0	0	1	0	3	0	0	2	0	0
OTU_216	1	0	70	0	76	0	68	33	1	83	0	13	32	0	55	49	56	45	0	0	0	80	3	36	0	0	15	2	13	3	0	114	30	0	39	0	54	19	9	1	64	14	2	14	0	59	7	2	18	28	0	86	14	0	41	0	0	3	57	23	17	0	1	12	0	0	0	0	0	0	22	0	9	0	0	0	0	0
OTU_1163	0	0	12	0	5	0	3	2	1	4	0	1	0	0	6	0	2	4	0	1	0	0	0	0	0	0	0	0	3	3	0	8	1	0	3	0	3	1	2	0	8	0	1	2	0	3	0	0	0	2	0	7	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_3193	0	0	1	0	3	15	3	2	1	7	6	1	3	3	3	1	5	7	3	1	0	11	3	1	0	1	4	0	4	2	2	1	4	0	2	0	0	1	1	3	0	0	3	3	0	1	0	0	0	0	0	0	7	0	1	2	2	0	19	1	7	0	1	2	0	1	0	0	0	0	2	0	2	0	0	0	0	0
OTU_1306	0	0	11	0	8	0	5	3	0	6	0	0	6	0	18	0	5	2	0	0	0	4	0	0	0	0	0	0	0	0	0	14	4	0	2	0	14	1	1	0	22	0	0	3	0	5	0	0	0	1	0	15	0	0	1	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_614	0	0	40	0	4	0	3	2	0	4	0	3	3	0	27	0	7	1	0	0	0	7	0	0	0	0	0	0	2	0	0	43	1	0	2	0	37	0	4	0	35	2	0	5	0	4	0	0	0	3	0	27	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1052	0	0	0	9	0	0	4	4	17	0	165	0	0	3	0	0	0	26	123	0	0	3	2	0	0	0	0	6	0	3	0	0	0	0	0	0	0	1	1	1	0	3	3	2	0	1	0	0	0	2	0	0	4	0	2	5	0	0	7	0	6	1	0	1	0	3	0	1	13	0	0	0	0	0	0	0	0	0
OTU_824	8	0	17	0	49	131	244	10	14	50	12	1	5	23	12	49	30	2	0	8	0	129	39	5	1	1	5	2	59	69	0	12	0	2	19	0	4	3	7	19	6	0	56	0	11	12	7	1	19	12	0	53	6	0	8	4	2	10	87	5	27	0	1	14	0	1	1	5	0	4	33	4	15	0	12	0	0	2
OTU_3530	0	0	4	0	2	0	0	3	0	2	3	0	1	0	3	0	3	0	0	0	0	3	0	2	0	0	0	0	1	3	1	8	12	1	1	0	8	0	1	0	4	0	1	2	0	0	0	0	0	1	0	6	2	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	1
OTU_2323	0	0	1	0	0	0	0	3	5	2	0	0	0	2	1	2	1	1	0	0	0	6	0	0	0	0	2	0	4	2	0	0	4	0	7	0	1	1	0	0	0	0	2	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	5	2	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_2401	0	0	21	0	38	107	17	18	0	23	0	4	19	1	25	25	36	32	2	1	0	25	1	13	0	1	5	0	86	7	0	42	17	1	23	0	35	11	8	1	25	10	2	9	58	18	3	0	0	18	0	45	37	0	19	0	0	7	21	8	8	0	0	8	0	3	0	0	0	1	4	0	2	0	0	0	0	0
OTU_666	0	0	24	0	10	0	10	10	0	20	0	3	9	0	29	8	7	8	0	0	0	16	0	0	0	0	4	0	2	0	0	30	7	0	8	0	22	3	2	0	29	3	0	7	0	6	0	0	0	10	0	17	0	0	6	0	0	1	4	4	2	0	0	5	0	0	0	0	0	0	4	0	1	0	0	0	0	0
OTU_439	0	0	21	0	9	0	13	4	0	16	0	3	5	0	23	10	11	6	0	0	0	9	0	5	0	0	1	0	2	0	0	31	4	0	6	0	27	7	2	1	24	4	0	4	0	11	1	0	0	8	0	16	2	0	12	0	0	3	9	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1338	0	0	3	0	15	0	31	2	7	38	0	0	2	7	2	0	9	0	0	1	0	9	6	3	0	0	4	1	10	4	0	3	4	0	5	0	7	1	0	5	4	1	6	1	0	8	1	1	0	5	0	3	10	0	2	4	1	2	11	2	4	3	0	2	0	0	1	1	0	0	5	0	0	0	0	0	0	0
OTU_1557	0	0	32	0	8	0	0	10	0	12	0	2	8	0	35	0	4	3	0	0	0	6	0	0	0	0	3	0	1	0	0	37	0	0	0	0	23	2	3	0	31	4	0	6	0	3	0	0	0	7	0	36	0	0	6	0	0	0	12	0	10	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_212	0	0	0	1	6	35	30	56	13	9	100	8	54	11	0	16	30	112	59	0	0	22	3	68	0	0	36	29	106	8	2	0	71	0	35	0	1	13	3	85	4	7	10	37	0	35	1	30	0	10	0	0	19	0	8	78	4	1	31	31	49	6	5	23	0	5	0	78	3	0	12	0	17	0	0	0	0	0
OTU_857	1	0	0	0	7	0	2	2	5	19	0	1	13	1	1	0	38	7	0	4	0	2	6	0	0	8	2	0	5	4	1	0	3	0	11	0	0	1	3	4	0	1	6	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0
OTU_1597	1	0	2	0	1	0	2	10	8	10	0	0	0	3	1	1	3	8	0	0	0	2	0	0	0	0	1	3	3	3	0	2	1	1	2	0	1	2	1	1	1	22	2	8	0	5	0	2	0	2	0	1	0	0	0	3	0	3	2	6	0	0	0	2	0	0	0	1	0	0	1	0	1	0	2	0	0	0
OTU_115	123	0	0	3	101	8	43	53	50	63	51	8	27	191	2	11	40	62	16	9	0	23	40	5	0	22	11	58	33	87	1	0	50	9	30	0	1	9	12	61	2	11	112	35	0	35	4	42	0	10	0	1	7	0	17	99	7	2	39	37	12	31	6	12	0	3	3	43	0	2	14	0	3	9	2	5	3	4
OTU_3353	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_410	0	0	0	0	0	0	0	0	50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_791	0	0	35	0	25	0	8	9	0	18	0	1	13	0	43	7	14	9	0	0	0	38	0	15	0	0	7	0	2	0	0	35	4	0	5	0	27	4	4	0	28	7	0	5	0	8	1	0	0	9	0	42	3	0	20	0	0	1	8	2	3	0	0	4	0	1	0	0	0	0	4	0	3	0	0	0	0	0
OTU_559	5	0	12	0	35	0	5	36	11	35	4	2	34	21	2	3	17	1	0	4	0	9	3	0	0	2	10	1	19	10	4	11	31	0	29	0	8	16	5	5	0	18	11	23	0	7	1	0	15	8	0	4	9	0	0	6	0	8	8	18	8	1	0	2	0	1	0	6	0	0	10	0	1	0	0	0	0	0
OTU_853	0	63	0	8	0	0	0	0	0	0	15	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
OTU_1120	3	0	4	0	8	0	9	8	1	5	6	2	7	4	1	2	3	2	0	0	0	4	2	4	0	0	5	2	2	1	0	9	7	0	7	0	4	0	5	3	5	0	1	6	0	11	3	6	0	1	0	4	2	0	4	5	0	3	5	5	0	2	1	2	0	1	0	3	0	0	3	0	6	0	0	0	0	0
OTU_1105	0	0	2	0	9	0	19	0	0	7	0	0	4	2	2	0	2	0	0	0	0	7	3	4	0	0	2	0	6	0	0	3	3	0	7	0	2	0	0	0	4	1	0	3	0	7	0	0	0	0	0	2	8	0	0	0	0	1	4	2	2	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0
OTU_426	1	0	15	0	31	0	11	4	4	21	0	1	5	2	11	6	16	15	0	0	0	14	0	4	0	2	2	0	14	3	0	13	1	0	19	0	11	1	0	1	23	3	4	2	0	10	1	3	0	1	0	15	4	0	9	0	0	0	10	2	5	0	0	4	0	0	0	0	0	1	1	0	2	0	0	0	0	0
OTU_1383	0	0	4	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	17	0	0	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_936	1	0	5	0	4	0	1	1	0	5	0	1	1	0	10	0	4	1	0	1	0	3	0	0	0	0	0	0	0	1	0	10	2	0	2	0	16	2	0	0	23	0	0	3	0	3	0	0	0	1	0	12	0	0	2	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_319	51	0	13	0	89	0	25	71	2	91	0	11	90	44	7	4	80	20	0	20	0	25	30	1	0	37	56	9	129	22	0	1	62	6	60	0	5	24	30	26	7	61	63	80	0	110	4	14	208	40	0	24	67	0	2	34	0	20	15	48	0	4	0	32	0	10	0	8	0	0	37	2	35	0	0	4	0	2
OTU_4177	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3927	16	0	0	0	1	0	0	2	13	0	12	0	2	16	0	0	0	0	5	9	0	1	11	0	0	8	0	5	0	19	0	0	1	11	1	0	0	0	1	11	0	1	12	0	0	0	0	7	0	0	0	0	0	0	0	4	2	0	0	0	0	4	3	0	0	0	0	1	0	1	1	5	0	0	0	0	0	1
OTU_469	0	0	13	0	16	0	98	13	10	27	0	9	30	3	51	0	52	0	0	0	0	12	14	0	0	0	8	8	97	3	1	15	8	0	203	0	1	7	1	31	8	15	0	19	0	10	3	0	0	23	0	57	2	0	1	2	0	17	37	25	1	0	0	38	0	13	0	3	0	0	13	0	18	0	0	0	0	0
OTU_594	0	0	19	0	9	0	8	1	0	8	0	0	5	0	17	6	7	6	0	0	0	6	1	3	0	0	0	0	1	0	0	25	0	0	3	0	8	1	6	0	30	1	0	4	0	2	0	0	0	0	0	21	4	0	10	0	0	1	5	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_606	0	0	24	0	36	0	24	17	0	17	0	10	16	0	44	27	14	14	0	0	0	30	0	16	0	0	10	0	6	0	1	41	19	0	22	0	51	9	15	0	24	12	0	24	0	11	2	0	0	18	0	52	11	0	17	0	0	2	18	10	1	0	0	10	0	0	0	0	0	0	4	0	5	0	0	0	0	0
OTU_968	0	0	6	0	6	0	5	5	0	10	0	1	6	0	12	5	7	5	0	0	14	18	0	0	0	0	4	0	6	0	0	8	6	0	4	1	10	6	0	0	6	2	0	4	0	3	0	0	0	1	0	6	4	0	7	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_1775	0	0	0	0	2	16	0	1	0	7	0	2	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	16	0	0	1	0	0	8	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_412	1	0	38	0	26	0	19	8	2	36	3	2	16	2	20	17	29	6	0	1	0	33	1	3	0	3	12	0	15	0	1	55	12	0	8	0	10	7	7	0	25	7	5	8	0	39	5	0	0	13	0	25	1	0	25	2	0	4	24	11	5	1	0	10	0	4	0	0	0	0	6	0	4	0	0	1	0	1
OTU_611	0	0	19	0	19	0	29	13	0	21	0	2	14	0	23	19	17	6	0	0	0	21	0	5	0	0	12	0	7	0	1	47	16	0	12	0	24	10	7	0	14	10	0	16	0	9	0	0	0	17	0	32	10	0	7	0	0	3	8	6	4	0	0	7	0	1	0	0	0	0	2	0	6	0	0	0	0	0
OTU_2722	0	0	16	0	10	0	7	4	0	19	0	1	7	0	13	3	13	0	0	0	0	8	0	0	0	0	1	0	9	1	0	25	1	0	14	0	19	2	0	0	18	0	0	5	0	15	0	0	0	1	0	12	7	0	3	0	0	2	10	2	1	0	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0
OTU_114	46	0	7	0	54	0	2	26	167	50	4	2	16	144	3	0	43	9	1	34	0	6	108	9	2	95	15	14	21	166	2	4	31	28	66	0	2	6	7	32	0	7	286	39	1	21	2	10	0	11	0	1	2	0	5	18	0	3	3	11	3	3	1	14	0	0	4	14	0	0	4	10	5	5	3	3	4	2
OTU_646	1	0	2	0	10	24	11	29	5	2	5	7	8	3	0	7	6	101	3	0	0	0	1	4	0	2	3	2	5	2	0	2	15	0	10	0	0	2	1	5	0	6	1	27	0	8	11	0	20	6	0	4	3	0	1	0	0	3	26	36	13	0	0	5	0	4	0	1	0	0	14	0	0	0	0	0	0	0
OTU_1585	0	0	27	0	25	0	18	17	1	64	0	1	22	2	15	7	31	13	0	0	0	8	1	9	0	0	10	1	41	0	0	22	12	0	47	0	12	3	6	0	26	7	0	23	0	16	4	0	76	7	0	12	1	0	3	0	0	1	18	7	9	1	0	6	0	4	0	0	0	0	2	0	6	0	0	0	0	0
OTU_652	0	0	20	0	15	0	13	2	0	10	0	1	4	0	16	12	10	7	0	0	0	22	0	13	0	0	2	0	3	0	0	20	1	0	8	0	23	4	0	0	20	5	0	4	0	5	0	0	0	3	0	28	3	0	9	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1595	0	0	4	0	5	0	6	1	0	8	0	0	2	0	2	1	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	2	1	0	0	1	1	0	0	0	2	1	0	0	0	0	1	3	0	11	0	0	0	4	1	3	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1685	0	0	23	0	11	0	5	4	0	12	0	1	4	0	22	11	7	6	0	0	0	9	0	3	0	0	4	0	0	0	1	17	2	0	2	0	18	2	1	0	32	0	0	9	0	8	0	0	0	7	0	20	2	0	5	0	0	1	2	2	4	0	0	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0
OTU_143	0	0	140	0	132	54	104	77	5	137	0	19	63	6	117	79	90	46	0	1	0	115	5	45	2	3	40	1	32	1	1	152	61	0	83	0	107	38	23	0	134	21	2	52	0	88	17	0	0	41	0	113	41	0	52	4	0	14	62	38	41	0	0	26	0	2	0	3	0	0	26	0	25	0	0	0	0	0
OTU_2010	1	0	45	0	10	0	16	9	0	15	0	3	6	0	54	12	24	10	3	0	0	18	2	10	0	0	3	0	6	1	0	54	8	0	14	0	30	4	2	0	33	1	2	6	0	16	0	0	0	3	0	39	1	0	3	0	0	2	18	2	5	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU_843	0	0	9	0	11	0	2	2	0	12	0	0	0	0	5	1	4	3	0	0	0	9	0	2	0	0	1	0	1	0	0	2	1	0	2	0	3	1	2	0	8	2	0	1	0	2	0	0	0	2	0	12	1	0	5	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0
OTU_2399	0	0	2	0	4	0	9	3	1	5	0	0	2	6	1	0	4	12	0	0	0	2	1	4	0	1	2	0	2	3	0	1	0	0	5	0	0	0	0	0	0	1	3	3	0	1	0	0	0	3	0	1	0	0	0	2	0	0	6	2	4	0	0	1	0	0	0	1	2	0	1	0	1	5	0	0	0	0
OTU_916	0	0	7	0	10	0	8	3	0	7	0	0	1	0	10	7	4	5	0	0	0	4	0	0	0	0	4	0	4	0	0	17	3	0	3	0	6	1	2	0	14	1	0	5	0	5	0	0	0	1	0	16	2	0	2	0	0	0	17	2	0	0	0	2	0	0	0	0	0	0	1	0	4	0	0	0	0	0
OTU_872	3	0	12	0	28	0	14	6	10	23	2	1	9	8	14	0	6	7	0	2	0	30	7	7	0	1	2	5	14	8	0	8	7	1	8	0	5	2	5	2	9	1	16	5	0	18	1	4	0	2	0	23	5	0	2	3	1	3	13	5	4	1	2	9	0	0	0	1	0	0	4	1	0	0	4	0	0	0
OTU_1575	0	0	15	0	7	0	9	4	0	22	0	0	4	1	10	0	14	4	0	0	0	20	0	11	0	0	0	0	16	0	0	18	4	0	29	0	5	1	0	1	8	1	0	4	0	32	0	0	0	11	0	16	2	0	2	0	0	1	4	3	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_671	0	0	17	0	3	0	10	1	0	12	0	1	5	0	20	0	2	2	0	0	0	5	0	20	0	0	3	0	1	0	0	12	1	0	5	0	20	3	0	0	25	1	3	11	0	3	0	0	0	3	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_3916	0	0	6	0	12	3	16	7	0	21	5	3	6	5	5	5	6	5	0	1	0	9	2	1	0	2	1	0	16	3	0	8	9	0	17	0	8	4	0	1	3	1	4	6	0	20	1	1	5	4	0	7	1	0	1	1	0	0	7	8	5	2	0	2	1	1	0	2	0	0	0	0	1	0	0	0	0	0
OTU_1116	0	0	3	0	13	0	0	0	0	11	0	0	4	22	0	0	3	0	0	0	0	6	2	0	0	0	2	0	5	5	0	1	5	0	1	0	5	0	0	1	0	3	4	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	27	1	1	0	0	1	0	0	0	0	0	0	2	0	0	4	0	0	0	0
OTU_1083	0	0	6	0	7	0	27	5	0	3	0	2	2	1	3	0	0	2	0	0	0	3	0	0	0	0	2	0	7	0	0	12	2	0	4	0	4	0	0	0	16	3	0	2	0	8	0	0	0	5	0	9	1	0	1	0	0	3	5	4	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_581	0	0	41	0	49	0	24	17	0	48	0	7	15	2	37	28	28	28	0	0	0	43	0	13	0	0	9	0	19	1	2	62	14	0	26	20	55	8	2	1	56	5	2	22	0	36	8	1	23	7	0	52	24	0	15	0	0	9	29	14	7	0	0	4	0	1	0	0	0	0	7	0	7	0	0	0	0	0
OTU_3956	32	0	0	0	47	1	6	5	6	30	0	3	3	10	0	5	34	4	0	1	0	5	5	1	0	4	8	2	7	7	0	0	13	1	16	0	0	1	0	3	0	2	8	7	0	7	1	2	2	3	0	0	0	0	1	4	0	0	4	3	0	5	2	2	0	1	1	4	0	1	5	0	1	0	2	1	2	1
OTU_148	2	0	95	0	55	0	64	28	0	59	0	14	41	1	124	44	38	32	0	0	0	62	0	16	0	0	19	1	19	0	3	124	30	0	28	0	124	22	10	0	149	12	0	33	0	47	5	0	0	34	0	117	28	0	33	0	0	8	24	18	9	0	0	18	0	0	0	0	0	0	11	0	5	0	0	0	0	0
OTU_638	0	0	8	0	14	0	6	2	0	8	0	1	4	1	9	8	11	12	0	0	0	12	0	0	0	0	0	0	3	0	0	9	3	0	11	0	8	2	2	0	7	1	0	9	0	8	0	0	0	4	0	7	2	0	3	0	0	1	5	3	15	0	0	2	0	2	0	1	0	0	3	0	0	0	0	0	0	0
OTU_744	1	15	34	0	11	38	11	3	3	12	38	0	3	0	19	4	6	18	30	0	0	6	1	1	0	0	1	0	4	0	0	41	6	0	9	0	37	3	2	1	18	1	0	7	0	3	1	0	0	2	0	30	3	0	8	3	1	1	13	2	5	0	0	3	0	0	0	1	0	0	2	0	0	6	0	0	0	0
OTU_370	1	0	42	0	43	12	25	12	11	57	1	2	18	15	41	11	59	24	1	22	0	37	14	15	0	8	6	1	14	20	0	63	10	20	28	0	48	8	9	3	32	11	20	12	0	30	6	1	0	17	0	55	7	0	11	1	2	2	35	11	11	4	1	19	0	0	5	0	0	1	5	1	6	0	1	2	1	0
OTU_541	0	0	157	0	80	7	90	48	0	119	28	9	48	3	95	27	76	79	6	0	55	75	0	16	0	0	18	2	102	2	1	147	54	0	135	12	180	38	14	1	103	22	2	39	0	116	7	2	47	24	59	111	27	0	19	0	2	10	68	39	13	1	0	25	1	2	0	1	0	0	19	0	13	0	0	0	0	0
OTU_1053	0	0	0	0	5	0	3	0	2	11	7	0	0	1	0	0	7	17	12	0	0	0	0	2	0	1	1	0	6	0	0	0	1	0	2	0	0	0	1	0	0	1	1	1	0	1	0	0	17	1	0	0	6	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_2444	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU_1431	0	0	19	0	0	0	3	1	0	0	0	0	0	0	8	0	4	0	0	0	0	3	1	0	0	0	0	0	0	7	0	4	0	0	2	0	8	2	0	0	3	2	0	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1854	0	0	2	0	0	0	0	1	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1625	0	0	1	0	8	0	0	3	0	3	0	0	2	0	2	0	0	1	0	0	0	2	0	0	0	0	4	0	1	0	1	2	1	0	3	0	2	1	0	0	5	1	0	4	0	5	0	0	23	1	0	2	1	0	1	2	0	0	4	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_268	0	0	52	0	20	59	18	10	0	21	0	2	12	0	49	8	14	11	0	0	0	18	0	9	0	0	8	0	6	0	0	53	5	0	13	0	51	3	3	0	58	5	1	12	0	12	1	0	0	6	0	51	2	0	9	0	0	3	11	2	4	0	1	3	0	0	0	0	0	0	3	0	2	0	0	0	0	0
OTU_2124	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_776	3	0	7	0	28	0	9	5	2	7	0	0	1	1	4	1	5	2	0	0	0	5	1	3	0	0	2	0	4	1	0	6	6	4	7	0	7	4	3	0	19	1	13	5	0	8	1	0	24	4	0	9	4	0	5	5	0	0	2	3	3	0	1	1	0	0	0	1	0	1	3	1	1	0	0	0	0	0
OTU_128	11	0	6	0	25	0	9	34	76	23	7	5	23	162	4	6	31	7	0	2	0	7	50	0	0	3	26	60	129	121	0	7	40	2	42	0	7	1	2	128	3	7	258	19	0	18	3	62	0	11	0	0	14	0	0	171	0	0	16	18	2	40	8	5	0	0	0	74	0	0	6	0	4	0	1	1	1	1
OTU_289	0	0	87	0	31	0	21	8	0	27	0	4	19	0	85	19	23	16	0	1	0	31	1	10	0	2	8	0	6	1	0	89	11	2	15	0	80	9	1	0	49	5	2	9	0	17	1	0	28	10	0	67	1	0	25	0	0	9	11	5	2	0	0	13	0	1	0	0	0	0	2	0	2	0	0	0	0	0
OTU_3846	2	0	5	0	4	0	2	4	3	15	0	0	3	8	0	0	2	1	0	1	0	0	0	0	0	12	2	0	13	47	2	2	8	0	6	0	7	4	1	3	3	0	3	4	0	1	1	2	0	3	0	4	0	0	1	3	0	0	2	5	4	0	10	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0
OTU_1004	1	0	9	0	7	0	4	7	0	12	0	1	0	0	8	1	6	2	0	0	0	9	0	0	0	0	7	0	2	0	0	12	7	0	7	0	10	1	1	0	11	0	0	8	0	12	2	0	0	4	0	17	1	0	4	0	0	4	4	3	3	0	0	2	0	0	0	0	0	0	4	0	3	0	0	0	0	0
OTU_578	0	0	18	0	5	0	10	4	0	8	0	2	3	0	14	7	7	3	0	0	0	20	0	0	0	0	4	0	1	0	0	25	3	0	3	0	16	5	4	0	16	2	1	5	0	10	1	0	0	7	0	13	0	0	5	0	0	1	3	5	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_3785	0	0	10	0	8	0	13	9	0	33	0	1	4	3	12	1	11	5	4	0	0	8	4	2	0	0	1	0	5	0	0	9	3	0	6	0	17	5	2	2	5	2	0	3	0	5	1	0	8	5	0	26	2	0	1	0	0	0	6	5	0	0	0	2	0	1	0	0	0	0	4	0	1	0	0	0	0	0
OTU_453	1	0	0	0	97	32	9	2	3	1	18	8	25	5	1	3	13	27	13	0	0	7	5	19	0	1	3	2	120	19	2	0	22	1	34	0	0	2	0	4	2	5	5	10	0	2	1	2	0	3	0	0	14	0	3	2	0	7	16	10	10	3	1	4	0	9	0	0	0	0	3	0	13	0	0	0	0	0
OTU_813	0	0	0	0	111	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	14	0	0	0	0	0	0	7	1	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	63	0	22	0	0	0	0	0	0	0	0	0	0	0	0
