4GRh3	WGR6	4GR4	WGR2	WGRh3	WNR5	4NRh3	4GR1	TNR4	soil6	WGRh4	WNRh6	WNR1	WNR4	4NR1	4GR3	WGR4	soil5	WGRh1	4NR3	WNRh3	WNRh1	4NR6	WNRh2	4GR6	4GRh1	WNR3	WNRh4	4NRh6	soil2	TNR2	4NRh4	4GR2	4GRh6	4GRh2	WGR5	TNRh5	TGRh3	WNRh5	TNRh3	4NRh2	WGRh2	4NR2	WGR3	4NR5	soil3	WGRh5	WNR6	soil1	WGR1	4NRh1	soil4	4NR4	TGR5	WGRh6	TGRh4	4GR5	4GRh4	TGRh1	4GRh5	4NRh5	TGR3	TNR3	TGR4	TNRh4	TGRh2	TNRh1	TNR1	TNRh2	TGR2	TNRh6	TNR5	TGR6	TGRh5	TGRh6	TGR1	TNR6	WNR2
OTU_28	516	1267	517	2780	26	174	112	1241	10	1	58	28	1633	951	351	5411	1608	4	22	9920	44	197	7389	26	818	118	784	23	479	2	2	6	774	36	49	402	0	798	5	184	149	147	7064	282	73	0	23	564	2	689	24	3	454	112	32	13	9643	89	0	239	9	17	151	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0
OTU_44	127	0	3	0	881	8	960	1	0	1837	554	278	2	2	1	1	1	2698	497	1	240	414	0	481	0	0	4	224	526	1386	0	27	1	347	420	1	459	0	342	0	149	1238	2	1	2	698	366	2	4689	300	136	1345	2	1	230	0	1	159	22	156	290	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_18	2	1	3	3	1	2	39	1	2	11	105	1	6	5	3	3	1	1	46090	4	2	0	3	28	2	16	1	5	1	21	2	3	3	0	2	4	0	1	1	1	245	3	0	1	3	113	3	4	26	161	8	98	6	5	2	1	3	2	0	0	53	0	0	1	0	0	28	0	0	0	0	0	0	0	0	0	0	0
OTU_7	5668	54	18	6	2340	14	1432	54	3	5670	2991	1762	47	326	3	6	14	2866	1234	4	1666	1042	3	6037	2	871	15	6779	1376	2488	4	1866	10	1314	7738	5	3290	2375	1157	17	495	968	30	34	6	3451	2057	9	4817	284	478	3752	14	2	627	893	4	8194	229	1347	1068	3	1	0	26	0	446	0	0	2	16	1	0	0	0	1	0	0
OTU_9	497	4066	135	4178	38	1483	135	10215	342	3	44	141	3441	2079	4170	6192	1736	6	92	13433	71	283	10701	157	1425	609	1579	100	595	1	1	45	1151	138	108	2154	0	859	56	267	121	352	7513	554	354	2	258	2373	2	2379	56	7	4388	322	92	0	14305	60	352	273	16	6	199	0	53	0	7	26	1	0	0	0	0	0	0	0	0	0
OTU_35	768	1997	868	778	972	2816	678	147	1	14	954	127	387	908	1660	1970	904	1	1289	2670	451	982	992	438	2877	191	819	811	1457	2	1289	61	158	579	451	394	30	1117	2429	326	743	779	3370	614	264	3	382	185	1	999	203	0	462	47	1156	308	2133	364	125	600	457	50	72	0	0	29	138	0	5	0	0	0	0	0	0	0	0	0
OTU_15	721	1	6	5	794	1	1790	2	1	5778	2017	736	2	1	8	1	5	4224	2036	4	2339	1330	5	976	2	113	2	1116	1769	1513	2	412	2	1348	369	2	1409	72	1844	1	455	1845	0	2	1	6934	1671	5	4246	273	283	6301	6	6	513	180	2	591	158	189	327	1	0	0	0	0	0	0	0	0	0	0	0	11	76	0	0	0
OTU_78	59	1385	2357	757	102	2042	117	1763	99	3	129	141	3178	1618	1145	1072	660	2	161	1143	55	419	1109	334	2372	229	1289	82	64	4	4174	5	85	60	13	789	360	124	212	110	53	132	2047	496	5366	0	492	2673	2	1348	14	2	211	395	102	87	252	34	1691	146	151	0	32	0	0	5	12	33	2	0	3	0	1	0	0	0	0	0
OTU_105	1	0	1	1	3	0	0	0	0	275	0	1	0	0	1	0	0	0	0	1	1	73	0	1550	0	0	0	2	0	235	1	0	0	0	1	1	0	0	0	0	0	61	1	0	0	4213	32	0	0	1	13	1	0	1	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_16	33	5281	511	2614	36	1610	4	19757	826	2	34	142	2461	1603	8472	750	1171	5	11	14	47	14	32	276	652	1098	1120	141	20	2	5	5	95	201	11	3500	0	8	47	19	11	376	53	810	80	2	392	2479	5	420	86	2	57	291	89	0	205	25	575	32	2	0	0	0	15	0	55	0	0	0	0	0	0	0	0	0	0	0
