4GRh3	WGR6	4GR4	WGR2	WGRh3	WNR5	4NRh3	4GR1	TNR4	soil6	WGRh4	WNRh6	WNR1	WNR4	4NR1	4GR3	WGR4	soil5	WGRh1	4NR3	WNRh3	WNRh1	4NR6	WNRh2	4GR6	4GRh1	WNR3	WNRh4	4NRh6	soil2	TNR2	4NRh4	4GR2	4GRh6	4GRh2	WGR5	TNRh5	TGRh3	WNRh5	TNRh3	4NRh2	WGRh2	4NR2	WGR3	4NR5	soil3	WGRh5	WNR6	soil1	WGR1	4NRh1	soil4	4NR4	TGR5	WGRh6	TGRh4	4GR5	4GRh4	TGRh1	4GRh5	4NRh5	TGR3	TNR3	TGR4	TNRh4	TGRh2	TNRh1	TNR1	TNRh2	TGR2	TNRh6	TNR5	TGR6	TGRh5	TGRh6	TGR1	TNR6	WNR2
OTU_1061	0	0	0	0	0	0	0	0	0	17	0	0	2	1	0	0	1	0	0	0	1	2	1	0	7	12	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_494	0	0	0	0	3	2	6	0	0	0	36	1	194	0	0	0	0	0	2	0	4	157	0	3	0	0	0	0	97	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2026	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1073	0	0	0	0	7	0	0	0	0	0	7	1	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2259	0	0	0	16	1	5	0	1	2	0	0	0	2	6	2	8	0	0	0	0	1	1	2	0	1	0	5	0	1	0	0	1	0	4	1	10	0	0	0	0	0	0	1	0	3	0	2	1	0	3	0	0	0	0	1	0	42	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_274	0	2	1	1	576	0	5	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	435	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_546	3	0	0	0	5	0	7	0	0	33	14	7	0	0	0	0	0	13	21	0	16	4	0	7	0	14	1	26	6	10	0	0	0	9	2	1	3	10	13	0	2	14	0	0	0	3	12	0	9	0	7	2	0	0	16	2	0	3	11	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1400	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_517	0	0	0	0	7	0	0	0	0	27	100	14	0	0	0	0	0	34	0	0	0	4	0	25	0	0	0	4	3	0	0	7	0	6	0	0	0	0	0	0	5	6	0	0	0	0	0	0	9	0	2	29	0	0	0	0	0	24	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
OTU_796	0	0	0	0	2	0	2	0	0	8	0	4	0	0	0	0	0	6	0	0	0	3	0	3	0	0	0	1	1	3	0	6	0	2	2	0	0	1	1	0	0	3	0	0	0	10	3	0	15	0	1	11	0	1	0	7	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_672	0	35	109	8	0	10	3	2	3	0	18	2	16	10	12	7	19	2	3	24	11	32	28	21	25	4	32	11	4	0	103	1	12	6	5	8	3	2	6	10	8	8	37	2	24	0	1	21	3	16	1	12	85	2	8	7	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1963	0	4	3	0	9	29	0	0	1	0	0	1	1	15	0	43	1	0	0	51	0	4	0	0	5	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	12	0	2	21	0	1	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_713	0	0	0	0	7	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2357	0	0	0	0	0	0	1	0	2	25	63	0	0	0	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	7	0	0	0	1	0	0	0	2	0	4	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_882	0	7	0	0	0	8	1	0	0	2	0	2	0	4	0	1	2	1	2	9	0	0	3	3	1	0	0	0	1	0	4	3	0	0	0	0	0	0	0	0	2	0	2	1	9	3	0	6	0	1	0	0	2	0	1	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_497	0	0	1	0	2	0	2	0	0	14	4	3	0	0	0	0	0	61	3	0	2	5	0	5	0	0	0	3	2	22	0	1	0	2	0	0	0	1	5	0	1	6	0	0	0	29	2	0	52	3	0	68	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_698	2	0	0	0	3	0	1	0	0	23	1	4	0	0	0	0	0	15	2	0	3	0	0	3	0	0	0	7	12	10	0	4	0	12	0	0	0	2	9	0	0	5	0	0	0	7	0	0	14	3	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_503	0	0	0	0	5	0	2	0	0	18	23	0	0	0	0	0	0	18	1	0	27	9	0	0	1	9	0	0	60	15	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0	21	0	0	24	1	2	18	0	0	3	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_814	3	0	0	0	5	0	11	0	0	11	2	3	0	1	0	0	0	8	1	0	4	2	0	1	0	1	0	1	4	3	0	3	0	2	6	0	2	1	1	0	1	2	0	0	0	6	1	0	10	0	3	19	1	1	3	7	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2228	8	0	0	0	3	0	2	0	0	32	15	31	0	0	0	0	0	74	0	0	0	7	0	3	0	6	0	5	9	63	0	4	0	1	0	0	0	0	0	6	1	1	0	0	0	21	5	0	41	3	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_489	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	26	342	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_606	1	0	30	6	0	17	0	0	0	0	0	2	5	8	2	8	0	0	1	1	0	3	2	0	17	0	1	3	0	0	5	1	0	0	0	2	0	6	0	0	0	0	0	17	0	0	8	14	0	2	0	0	28	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_473	1	2	0	0	16	1	132	1	0	3	1	0	0	2	1	0	2	0	26	0	0	0	9	0	0	44	0	35	249	0	0	0	0	9	0	0	0	34	2	39	0	12	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_529	0	0	2	0	14	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	88	102	0	1	0	1	6	1	0	0	0	0	0	0	0	1	7	0	3	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	23	0	14	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1610	3	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	3	0	0	1	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1586	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_505	3	0	0	0	10	0	6	0	0	23	9	26	0	0	0	0	0	22	1	0	7	9	0	6	0	7	0	7	34	13	0	0	0	0	2	0	0	0	9	0	1	0	0	0	0	16	5	0	24	2	1	39	0	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_804	0	0	0	0	0	0	1	0	0	13	4	1	0	0	0	0	0	5	2	0	1	4	0	0	0	0	0	4	7	4	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	13	2	0	4	0	0	12	0	0	7	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_597	0	0	0	0	5	0	1	0	0	13	4	14	0	0	0	0	1	37	6	0	4	31	0	73	0	9	1	7	3	2	0	2	0	1	0	0	0	0	4	0	4	14	0	0	0	63	2	0	1	0	1	14	0	0	3	7	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1212	0	0	0	0	1	0	0	0	0	4	1	2	0	0	0	0	0	8	1	0	2	4	0	0	0	0	0	2	1	0	0	0	0	3	0	2	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	14	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_751	2	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	3	0	0	2	0	1	2	3	1	2	1	0	0	1	0	0	0	1	2	1	0	17	0	10	1	0	1	0	1	0	1	0	0	1	0	3	2	2	1	0	22	0	2	4	0	9	0	2	24	1	8	0	5	0	2	0	0	7	0	0
OTU_292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2126	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_498	0	0	0	0	0	0	0	0	0	0	0	0	2	24	364	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1004	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	3	40	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_534	0	8	1	0	2	9	1	0	0	0	4	0	10	2	0	0	0	0	0	0	1	8	8	8	4	0	11	0	7	0	0	1	0	0	0	22	9	0	6	0	3	0	1	7	50	0	1	5	0	0	0	15	6	0	0	0	3	32	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_717	0	0	0	0	5	0	0	0	0	6	10	1	1	0	0	0	0	26	0	0	4	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_956	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1009	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_612	0	0	0	0	8	0	6	1	0	4	6	0	0	0	0	0	0	7	10	0	5	0	0	0	0	0	0	7	0	21	0	2	0	0	11	0	0	0	68	0	8	0	0	0	0	3	32	0	13	2	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_970	1	0	0	0	2	0	0	0	0	7	4	1	0	0	0	0	0	4	3	0	1	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	2	0	0	0	10	2	0	5	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_666	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	0	0	7	0	0	120	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_485	0	0	0	0	0	0	5	0	0	0	0	0	1	7	0	0	3	0	5	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	1	0	15	9	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_795	1	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	22	2	0	6	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_747	0	0	0	0	0	0	0	0	0	6	2	4	0	0	0	0	0	1	0	0	2	1	0	2	0	0	0	6	7	2	0	0	0	0	5	0	0	0	3	0	8	0	0	0	0	10	0	0	4	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2392	1	1	1	1	8	0	1	2	0	0	4	4	0	0	0	0	1	0	0	2	1	1	1	2	1	2	0	2	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	3	0	3	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_550	0	18	15	10	0	9	0	10	0	0	6	2	1	0	120	6	0	0	4	0	1	4	7	0	10	1	3	0	1	0	6	0	0	5	1	2	15	0	0	1	0	3	10	6	47	0	14	6	0	70	0	0	3	2	0	4	0	1	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_687	0	49	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	5	11	8	0	0	14	2	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	1	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1072	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	4	0	0	0	0	1	0	5	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_805	0	0	0	0	21	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1262	0	0	0	0	0	0	0	0	0	8	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_579	12	0	0	0	9	0	14	0	0	31	18	8	0	0	0	0	0	118	16	0	10	4	0	9	0	4	0	6	6	25	0	4	0	5	3	0	1	6	17	0	8	5	0	0	0	28	15	0	46	2	3	64	0	0	8	0	1	3	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6	1640	3054	6405	2065	1119	5838	3508	3724	256	16	3217	2822	4631	5804	16335	2408	5625	54	1847	11504	3273	4691	5933	3643	5354	994	6548	3356	2423	7	1519	1048	1933	3400	681	2417	1228	1542	1769	1216	1375	1595	8605	2132	7949	11	1718	5673	34	2758	664	67	4645	1542	1000	1845	4814	1512	159	1069	1986	14	22	6	20	158	213	111	22	0	0	3	0	0	0	0	2	0
OTU_455	6	0	0	0	10	0	10	0	0	77	14	5	0	0	0	0	0	83	4	0	2	17	0	3	0	16	0	8	28	34	0	5	0	18	10	0	2	0	10	0	1	12	0	0	0	76	9	0	83	1	7	60	0	0	1	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2577	21	1	13	3	35	21	1	7	0	0	4	18	5	45	7	112	16	0	3	1	58	1	6	1	4	1	81	14	2	0	0	7	2	2	0	12	2	16	9	5	0	4	2	11	11	0	8	70	0	0	0	0	128	3	0	2	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2683	0	0	0	0	4	0	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	1	1	0	16	2	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1058	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_618	2	20	9	9	7	12	5	1	0	33	5	7	6	3	0	1	4	39	1	2	5	23	38	5	20	31	2	7	9	10	0	1	11	2	6	2	7	10	26	13	1	1	6	5	7	9	2	7	44	4	2	4	2	3	3	43	0	0	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1196	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1381	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	4	1	0	1	1	0	0	0	0	0	1	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2390	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1540	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	6	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_657	2	0	0	0	6	0	2	0	0	9	1	1	0	0	0	0	0	71	0	0	0	1	0	0	0	3	0	0	2	5	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	2	6	0	5	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1279	0	0	0	0	13	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_959	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	22	4	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	4	0	28	1	0	7	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1067	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_568	0	0	0	0	4	0	1	1	0	39	0	3	0	0	0	0	0	1	6	0	0	7	0	8	0	0	0	13	9	7	0	3	0	30	1	0	0	0	9	0	0	0	0	0	0	18	19	0	3	0	0	0	0	0	0	0	0	1	36	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	46	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2017	0	3	0	6	0	0	0	6	0	0	0	0	11	2	0	3	9	0	0	3	0	1	2	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	3	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1590	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_760	0	9	3	0	0	22	0	0	0	0	0	1	5	3	0	0	4	5	3	7	1	0	12	4	2	0	4	1	0	8	43	3	1	0	0	2	0	0	1	0	3	0	4	0	38	0	0	7	3	2	0	4	2	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2496	3	5	19	7	0	6	2	0	4	0	8	4	7	2	2	4	7	0	0	5	3	4	15	2	14	0	20	2	2	0	5	0	2	11	1	6	0	0	0	2	1	3	5	1	3	1	1	7	0	4	1	1	38	1	4	0	17	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1516	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_904	2	0	0	0	4	0	1	0	0	21	4	0	0	0	0	0	0	5	12	0	3	1	0	3	0	7	0	4	5	10	0	0	0	0	3	0	0	7	3	1	2	22	0	0	0	3	7	0	6	0	0	4	0	0	2	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_798	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1182	3	0	0	0	0	1	1	0	0	4	1	1	1	0	0	0	0	1	2	0	1	0	1	3	0	2	0	3	2	0	0	3	0	3	1	0	0	1	1	0	4	2	0	0	0	1	3	0	5	0	0	4	0	0	2	7	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
